frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_LOGenergy;pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_LOGenergy_de;pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_LOGenergy_de_de
0;0.000000;-7.280026e+000;1.812195e+001;2.678966e+001;1.364493e+001;2.222075e+001;2.997106e+001;1.783564e+001;2.988397e+001;4.574140e+000;1.577546e+001;2.613079e+001;1.614117e+001;-1.420863e+001;-7.175401e+000;7.626057e-003;2.039222e+000;-5.616600e+000;5.899073e-001;-3.473795e-001;-2.416340e+000;-2.111324e+000;5.589800e+000;5.580070e+000;2.092379e-001;1.344924e-001;4.510688e-001;-5.102897e-001;1.413735e-001;-1.034538e+000;-6.419027e-001;7.475547e-001;-3.807163e-001;1.446971e-001;2.309084e-001;-1.867493e+000;-1.831581e+000;3.336104e-002;2.634052e-001;7.653826e-002
1;0.009994;-1.830101e+001;2.272189e+001;3.672169e+001;-6.227386e+000;1.453756e+001;1.724399e+001;5.383938e+000;1.472226e+001;2.010471e+001;2.658457e+001;2.464279e+001;1.311703e+001;-1.345875e+001;-9.298288e+000;7.202415e-002;6.718119e-001;-7.654704e+000;2.789158e+000;-4.311038e-001;-1.908663e+000;-1.064643e+000;3.620575e+000;2.883909e+000;-2.966484e-001;1.698412e+000;6.608915e-001;3.835301e-001;-1.069260e-001;-2.069871e+000;1.492295e-002;8.607548e-001;-6.375271e-001;5.958752e-001;2.927766e-001;-3.254556e+000;-3.204493e+000;1.076833e-001;4.137792e-001;5.400991e-002
2;0.019989;-3.764654e+001;1.586012e+001;3.201975e+001;-4.501915e+000;2.901189e+001;3.459770e+001;1.197979e+001;2.690820e+001;2.475785e+001;3.827125e+001;2.792098e+001;1.832570e+001;-1.232822e+001;-8.665405e+000;6.822947e-001;-2.449764e+000;-7.807062e+000;3.228055e+000;-2.209099e+000;-1.946694e+000;-1.480123e+000;-2.763051e+000;-2.229758e+000;6.289862e-001;6.695584e-001;7.288488e-001;1.683778e+000;-4.047597e-001;-2.278896e+000;8.476294e-001;-8.374225e-002;-1.261415e+000;1.412762e-001;-7.667621e-001;-3.306338e+000;-3.533522e+000;-3.496616e-001;-4.802980e-001;-1.028132e-003
3;0.029983;-3.858821e+001;1.961299e+001;2.753367e+001;-1.555517e+001;3.277098e+001;2.550222e+001;1.122025e+001;2.604864e+001;1.258516e+001;1.894710e+001;2.375245e+001;2.354096e+001;-1.184437e+001;-4.512748e+000;-8.643384e-001;-6.065640e+000;-4.446754e+000;3.574608e+000;-2.604155e+000;3.282124e-001;-9.630419e-001;-6.506555e+000;-6.537480e+000;5.377802e-001;1.935855e+000;5.822284e-001;2.351429e+000;-9.172760e-001;-1.663700e+000;1.969548e+000;-1.545407e+000;-1.139921e+000;-3.247378e-001;-1.065309e+000;-1.192006e+000;-1.690660e+000;-7.916076e-001;-1.208782e+000;-5.480684e-002
4;0.039977;-4.046345e+001;2.308788e+001;1.913485e+001;-2.072649e+001;2.924432e+001;1.479645e+001;5.184014e+000;1.682017e+001;-5.481339e+000;8.445398e+000;2.972089e+001;1.427699e+001;-1.137157e+001;-1.149283e+000;-1.547991e+000;-5.986533e+000;-2.982428e+000;-2.215287e-001;-5.567928e+000;-2.828397e+000;-5.995935e+000;-5.878323e+000;-7.376846e+000;-1.956285e+000;-2.385719e+000;4.852597e-001;1.896564e+000;-1.034735e+000;-2.774964e-001;2.363982e+000;-2.233699e+000;2.738303e-001;-1.001734e-002;-9.749649e-002;1.677138e+000;8.399842e-001;-1.255006e+000;-8.349891e-001;-5.922411e-002
5;0.049971;-3.945629e+001;1.478632e+001;1.283594e+001;-2.034887e+001;3.229438e+001;1.412384e+001;1.042289e+001;1.495107e+001;2.691528e+000;8.810095e+000;2.643174e+001;2.482066e+001;-1.102593e+001;-1.299204e+000;-3.399213e+000;-5.878304e+000;-2.192800e-001;-3.213086e+000;-4.451293e+000;-3.091500e+000;-4.133279e+000;-7.818189e-001;-2.995845e+000;-2.962051e+000;-2.817860e+000;5.086519e-001;8.429807e-001;-8.034150e-002;1.215278e+000;1.903188e+000;-1.895443e+000;1.745140e+000;6.903929e-001;1.060144e+000;2.742116e+000;2.224683e+000;-8.413336e-001;-7.448822e-001;-3.739171e-002
6;0.059966;-4.295892e+001;1.053350e+001;9.435949e+000;-1.701720e+001;2.814254e+001;1.244726e+001;-1.763518e+000;2.477305e+000;3.130541e-001;6.455519e+000;1.679992e+001;5.757264e+000;-1.031114e+001;-7.893547e-001;-3.223943e+000;-3.930915e+000;1.899110e+000;-4.546591e+000;8.362190e-002;-2.869241e-001;-3.824865e-001;2.760273e+000;1.993450e-001;-3.896126e+000;-1.128529e+000;4.695165e-001;3.053219e-001;8.089205e-001;1.810158e+000;1.504030e+000;7.689045e-002;2.832647e+000;2.376060e+000;2.242076e+000;1.884139e+000;2.174618e+000;1.063644e+000;1.039908e+000;-5.100537e-002
7;0.069960;-4.383650e+001;8.894118e+000;2.991604e+000;-1.850621e+001;1.725644e+001;4.420353e+000;-7.634859e-001;1.255367e+001;5.778866e+000;4.962820e+000;1.540269e+001;1.371153e+001;-9.831324e+000;-4.778080e-001;-4.280699e-001;-1.017059e+000;2.628418e+000;-3.740077e+000;3.295773e+000;2.509440e+000;1.530955e+000;2.884727e+000;7.978371e-001;-2.698967e+000;-2.417151e+000;4.031414e-001;3.559932e-001;1.279194e+000;1.935102e+000;8.340324e-001;2.160004e+000;2.555020e+000;2.451527e+000;1.256151e+000;-1.000153e-001;5.654529e-001;2.303948e+000;1.284430e+000;-7.702811e-002
8;0.079954;-4.222012e+001;9.914259e+000;4.402443e+000;-1.215227e+001;1.403034e+001;2.006630e+001;9.342580e+000;1.610643e+001;6.776356e+000;1.136576e+001;1.575479e+001;1.418891e+001;-9.621290e+000;-3.337174e-002;1.011039e+000;6.336323e-001;3.113872e+000;4.264188e-001;4.721775e+000;6.251432e+000;2.382329e+000;1.709101e+000;1.599403e+000;3.230392e+000;2.613467e+000;2.829881e-001;1.421962e-001;7.587838e-001;1.380762e+000;5.090449e-001;2.396774e+000;5.833046e-001;6.963935e-001;3.244736e-001;-6.127838e-001;-6.392056e-001;1.981559e+000;1.036008e+000;-8.000828e-002
9;0.089948;-4.221473e+001;1.295559e+001;1.026740e+001;-9.639249e+000;2.065010e+001;2.679318e+001;1.741704e+001;1.579128e+001;1.388351e+001;1.034416e+001;1.345947e+001;8.519079e+000;-9.355149e+000;1.027706e-001;8.792669e-001;1.514932e+000;3.343502e+000;5.100428e+000;6.004731e+000;5.896956e+000;7.650668e-001;-7.563095e-001;-8.686088e-001;4.994430e+000;1.733293e+000;2.167755e-001;-6.862632e-002;-2.236600e-001;5.542103e-001;5.638876e-001;1.118255e+000;-9.992532e-001;-1.530297e+000;-3.195412e-001;-6.967196e-001;-8.539369e-001;4.778653e-001;7.830241e-001;-7.479308e-002
